105學年度全國大學校院及校長名錄,,,,,,,,,,,
匯出時間:106.02.18,,,,,,,,,,,
序號,學校代碼,學校名稱,學校英文名稱,職稱,姓名,郵遞區號,地址,學校總機,學校傳真,網址,
140,1188,大同技術學院,Tatung Institute of Technology,校長,陳美菁,60005,嘉義市彌陀路253號,05-222-3124,05-225-2393,http://www.ttc.edu.tw/,
141,1189,亞太學校財團法人亞太創意技術學院,Asia-Pacific Institute of Creativity,校長,吳文濱,35153,苗栗縣頭份市珊湖里學府路110號,037-605-500,037-605-556,http://www.apic.edu.tw/,
142,1192,臺灣觀光學院,Taiwan Hospitality and Tourism University,校長,劉國成,97448,花蓮縣壽豐鄉豐山村中興街268號,03-865-3906,03-865-6260,http://www.tht.edu.tw/,
143,1195,馬偕學校財團法人馬偕醫學院,Mackay Medical College,校長,魏耀揮,25245,新北市三芝區中正路3段46號,02-2636-0303,02-2636-1134,http://www.mmc.edu.tw,
144,1196,法鼓學校財團法人法鼓文理學院,Dharma Drum Institute of Liberal Art,校長,郭敏芳,20842,新北市金山區西湖里法鼓路700號,02-2498-0707#5408,02-2408-2317,http://www.dila.edu.tw/,
145,1197,台北海洋技術學院,Taipei College of Maritime Technology,校長,唐彥博,25172,新北市淡水區濱海路三段150號,02-2805-2088#1501,02-2805-2796,http://www.tcmt.edu.tw/bin/home.php,
146,1R02,學校財團法人中華浸信會基督教台灣浸會神學院,TAIWAN BAPTIST CHRISTIAN SEMINARY,校長,蔡瑞益,11045,臺北市吳興街394巷1號,02-2723-9500#143,02-2722-4646,http://www.tbts.edu.tw/,
147,1R03,臺北基督學院,Christ’s College Taipei,校長,聶坤廷,25162,新北市淡水區自強路51號,02-2809-7661#1100,02-2809-6631,http://www.cct.edu.tw,
148,1R04,財團法人一貫道天皇基金會一貫道天皇學院,I-Kuan Tao College,校長,李玉柱,84442,高雄市六龜區新寮里三民路81號,07-687-2129,07-687-1938,http://www.iktc.edu.tw/,
149,1R05,台神學校財團法人台灣神學研究學院,Taiwan Graduate School of Theology,校長,陳尚仁,11149,台北市士林區仰德大道二段二巷20號,02-2882-2370,02-2881-6940,http://www.tgst.edu.tw,
150,1R06,一貫道崇德學院,i.k.t chong-de school,校長,陸隆吉,54552,南投縣埔里鎮鯉魚路25-8號,049-298-8675,049-298-9314,http://iktcds.okhome.com.tw,
151,3002,臺北市立大學,University of Taipei,校長,戴遐齡,10048,臺北市中正區愛國西路1號,02-2311-3040,02-2381-4067,http://www.utaipei.edu.tw/,
152,3A01,高雄市立空中大學,Open University of Kaohsiung,校長,劉嘉茹,81249,高雄市小港區大業北路436號,07-801-2008,07-806-6725,http://www.ouk.edu.tw,
153,M001,中華民國陸軍軍官學校,R.O.C.Military Academy,校長,張捷,83059,高雄市鳳山區維武路1號,07-746-2151,07-719-3168,http://www.cma.edu.tw,
154,M002,海軍軍官學校,R.O.C. NAVAL ACADEMY,校長,袁治中,81345,高雄市左營區軍校路669號,07-581-3141#781796,無,http://www.cna.edu.tw,
